Model,Target,RMSE,MAE
XGBoost,India VIX,1.465595897033118,0.9583889824035536
LSTM,India VIX,1.921436814805345,1.3730314054166144
EGARCH,India VIX,3.3210418046048797,2.188439216738705
XGBoost,Realized Volatility,0.4360946082218532,0.2780576519302528
LSTM,Realized Volatility,0.4364975603331089,0.2710237639688899
EGARCH,Realized Volatility,0.4982537456142504,0.3337205184639418
