Date,GARCH_vol,EGARCH_vol
2015-01-05,1.1518422106062958,1.1479141779003694
2015-01-06,1.0898159060184103,1.096851654847465
2015-01-07,1.4369595443408243,1.477719242699338
2015-01-08,1.3555240151324894,1.4052047520490878
2015-01-09,1.3706043865997455,1.3495773040746195
2015-01-12,1.3004873781157675,1.2667306290706293
2015-01-13,1.2306160233636203,1.188076164271133
2015-01-14,1.1645727747405317,1.1430672202244307
2015-01-15,1.1032215592285601,1.100118403068125
2015-01-16,1.3219115256597347,1.109528735773586
2015-01-19,1.244794544360632,1.0394520942753
2015-01-20,1.1783504574338592,0.9828392884016451
2015-01-21,1.2276192941664452,0.9732785666160189
2015-01-22,1.16120336071684,0.9217016775931739
2015-01-23,1.0994016325101779,0.8742624879253273
2015-01-27,1.068225603407873,0.8470561221709297
2015-01-28,1.040389608904681,0.8224276223024934
2015-01-29,0.9836993107868706,0.773752093483254
2015-01-30,0.9388788515521704,0.7419710291962732
2015-02-02,1.042320786708768,0.9379300233083007
2015-02-03,0.9874325297230707,0.8985105604457787
2015-02-04,0.950385925348035,0.9062299549113921
2015-02-05,0.9119790495690014,0.9013797792210163
2015-02-06,0.8680809194957559,0.866327792319037
2015-02-09,0.8513854002954149,0.8930337307054734
2015-02-10,0.9662063845053057,1.0603047748938277
2015-02-11,0.9243349610797387,1.0024849754638394
2015-02-12,0.9022871139542449,0.9588716805781586
2015-02-13,0.9055686410723738,0.9278054176359972
2015-02-16,0.9195819108974191,0.9031455099213918
2015-02-18,0.8726607766362698,0.8470543662064955
2015-02-19,0.8529481930673147,0.8168375540425417
2015-02-20,0.8150507831969598,0.776867792665021
2015-02-23,0.8146798434519258,0.8281268950153683
2015-02-24,0.835861512198646,0.9021894195419372
2015-02-25,0.7959888196388861,0.8474101378767016
2015-02-26,0.7595528671301321,0.7969739831400502
2015-02-27,0.7973642324489305,0.8833072402270008
2015-03-02,0.9519260331937229,0.8888393991423297
2015-03-03,0.9816958981694837,0.8742196605463787
2015-03-04,0.9376329058552038,0.8337041816950983
2015-03-05,0.9339325521007789,0.8967906612226558
2015-03-09,0.8864731377500742,0.8453432401242469
2015-03-10,1.0831534704563586,1.0978197994351817
2015-03-11,1.0397598509514403,1.091483640446513
2015-03-12,0.9852538500049149,1.0380563976194663
2015-03-13,0.9687273362613823,0.9959035848219836
2015-03-16,1.0430790965602217,1.1354109954043867
2015-03-17,0.9889889185154858,1.081310304474697
2015-03-18,0.9880262998226871,1.0403977736749994
2015-03-19,0.9489183728596453,1.029228211105106
2015-03-20,0.9240665299942771,1.040550534946624
2015-03-23,0.9143749777452209,1.0707346382377791
2015-03-24,0.8731241806539414,1.0313136975174695
2015-03-25,0.8315809918829746,0.9781111081062377
2015-03-26,0.7948161905870365,0.9362911650526701
2015-03-27,1.0613961273357961,1.2061493751582897
2015-03-30,1.003291285797968,1.1249856551718846
2015-03-31,1.1017526198345182,1.1047974994935945
2015-04-01,1.0405222441741726,1.034670598608854
2015-04-06,1.0409028186174185,1.0009662415196026
2015-04-07,1.0167993256030354,0.9619342464025847
2015-04-08,0.9621475997967721,0.9033283127049825
2015-04-09,0.9294843215034035,0.8660776369040849
2015-04-10,0.9077253058653101,0.8358960852649472
2015-04-13,0.8618586019077815,0.786767454080841
2015-04-16,0.8385282671271564,0.7598691447359236
2015-04-17,0.9362738080815287,0.926527035718274
2015-04-20,0.9722431233320119,1.028594517976134
2015-04-21,1.1093030117252387,1.2220094032358646
2015-04-22,1.086679225730217,1.2454187749408316
2015-04-23,1.0418823516606404,1.1739725980714721
2015-04-24,0.9950617772205524,1.1417935908272852
2015-04-27,1.015760526164413,1.2122241340860074
2015-04-28,1.0326215887416894,1.2736547807578278
2015-04-29,1.0107615048322895,1.2074465081869095
2015-04-30,0.9769885265048892,1.1952246969459372
2015-05-04,0.9583683652713865,1.2046375615496556
2015-05-05,1.0713641249352248,1.1771297319193228
2015-05-06,1.0133441185135732,1.1084190657040704
2015-05-07,1.3262497315716884,1.4405052880901823
2015-05-08,1.260395910969149,1.3948686664079426
2015-05-11,1.2929366386553949,1.341345866937488
2015-05-12,1.3165985383820613,1.2925443980814726
2015-05-13,1.4739393960678067,1.5357329963042778
2015-05-14,1.4432933631468619,1.4560740380874875
2015-05-15,1.3575322238710048,1.3642381325842472
2015-05-18,1.283097612937986,1.2752852540614203
2015-05-19,1.2760101838314748,1.2242299862462003
2015-05-20,1.2022322215914147,1.1518869271481953
2015-05-21,1.1507062727572377,1.0922685430739891
2015-05-22,1.0857603030480314,1.0247997716561166
2015-05-25,1.0330606420624189,0.9701836235322508
2015-05-26,1.041393371585774,1.0515241339426946
2015-05-27,0.9944639596498439,1.0314718105426666
2015-05-28,0.9422123112152464,0.97376315856573
2015-05-29,0.8970503384695253,0.938057233560851
2015-06-01,0.950678927545355,0.9223513308547702
2015-06-02,0.9014313905959612,0.8684474728410134
2015-06-03,1.1603910919003224,1.1721827665367017
2015-06-04,1.1721928778964301,1.2565271838498027
