Date,NSEI,NSEI_ret,realized_vol_5d,regime,regime_label
2015-01-09,8284.5,0.6041557177688,1.7346155419953504,2,High Volatility / Crisis
2015-01-12,8323.0,0.4636467736743234,1.7660090377098006,2,High Volatility / Crisis
2015-01-13,8299.400390625,-0.2839496664365051,0.7923238377336409,1,Low-Momentum / Sideways
2015-01-14,8277.5498046875,-0.26362628028638235,0.7815849481587908,1,Low-Momentum / Sideways
2015-01-15,8494.150390625,2.5830729950324276,1.1700717052555318,1,Low-Momentum / Sideways
2015-01-16,8513.7998046875,0.23106162211340323,1.1832102282508214,1,Low-Momentum / Sideways
2015-01-19,8550.7001953125,0.4324820315931695,1.183834697606631,1,Low-Momentum / Sideways
2015-01-20,8695.599609375,1.680393189462208,1.1679562410181474,1,Low-Momentum / Sideways
2015-01-21,8729.5,0.3890988763950604,1.0290302610045072,1,Low-Momentum / Sideways
2015-01-22,8761.400390625,0.3647659672542357,0.597772644983825,0,Bull (Strong Uptrend)
2015-01-23,8835.599609375,0.8433216854945564,0.5597977207187977,0,Bull (Strong Uptrend)
2015-01-27,8910.5,0.8441385660836974,0.5324994079752176,0,Bull (Strong Uptrend)
2015-01-28,8914.2998046875,0.04263503418490414,0.34497090155976673,0,Bull (Strong Uptrend)
2015-01-29,8952.349609375,0.4259317047079271,0.34248055817592343,0,Bull (Strong Uptrend)
2015-01-30,8808.900390625,-1.6153405638702816,1.0195407939476053,1,Low-Momentum / Sideways
2015-02-02,8797.400390625,-0.13063506955069548,0.9333610642651088,1,Low-Momentum / Sideways
2015-02-03,8756.5498046875,-0.4654298232220474,0.7776171588614952,1,Low-Momentum / Sideways
2015-02-04,8723.7001953125,-0.3758487212147993,0.7468990378142514,0,Bull (Strong Uptrend)
2015-02-05,8711.7001953125,-0.13765100457609084,0.616077103265967,0,Bull (Strong Uptrend)
2015-02-06,8661.0498046875,-0.5831032408607971,0.20055235917167027,0,Bull (Strong Uptrend)
2015-02-09,8526.349609375,-1.5674617197285399,0.5511427754753453,1,Low-Momentum / Sideways
2015-02-10,8565.5498046875,0.4586999150377187,0.7407487005955881,1,Low-Momentum / Sideways
2015-02-11,8627.400390625,0.7194908616778425,0.9079558028440068,1,Low-Momentum / Sideways
2015-02-12,8711.5498046875,0.9706478627223794,1.0567846305871438,1,Low-Momentum / Sideways
2015-02-13,8805.5,1.0726817268910518,1.0875006108323144,1,Low-Momentum / Sideways
