Date,NSEI,BSESN,INDIAVIX
2015-01-02,8395.4501953125,27887.900390625,13.800000190734863
2015-01-05,8378.400390625,27842.3203125,14.149999618530273
2015-01-06,8127.35009765625,26987.4609375,17.420000076293945
2015-01-07,8102.10009765625,26908.8203125,18.139999389648438
2015-01-08,8234.599609375,27274.7109375,16.469999313354492
2015-01-09,8284.5,27458.380859375,15.960000038146973
2015-01-12,8323.0,27585.26953125,16.110000610351562
2015-01-13,8299.400390625,27425.73046875,16.479999542236328
2015-01-14,8277.5498046875,27346.8203125,17.25
2015-01-15,8494.150390625,28075.55078125,16.15999984741211
2015-01-16,8513.7998046875,28121.890625,17.270000457763672
2015-01-19,8550.7001953125,28262.009765625,17.649999618530273
2015-01-20,8695.599609375,28784.669921875,17.270000457763672
2015-01-21,8729.5,28888.859375,17.709999084472656
2015-01-22,8761.400390625,29006.01953125,18.56999969482422
2015-01-23,8835.599609375,29278.83984375,17.889999389648438
2015-01-27,8910.5,29571.0390625,18.09000015258789
2015-01-28,8914.2998046875,29559.1796875,19.770000457763672
2015-01-29,8952.349609375,29681.76953125,19.43000030517578
2015-01-30,8808.900390625,29182.94921875,20.170000076293945
2015-02-02,8797.400390625,29122.26953125,20.40999984741211
2015-02-03,8756.5498046875,29000.140625,19.809999465942383
2015-02-04,8723.7001953125,28883.109375,20.049999237060547
2015-02-05,8711.7001953125,28850.970703125,20.6200008392334
2015-02-06,8661.0498046875,28717.91015625,20.690000534057617
2015-02-09,8526.349609375,28227.390625,22.020000457763672
2015-02-10,8565.5498046875,28355.619140625,21.190000534057617
2015-02-11,8627.400390625,28533.970703125,20.5
2015-02-12,8711.5498046875,28805.099609375,20.15999984741211
2015-02-13,8805.5,29094.9296875,20.100000381469727
2015-02-16,8809.349609375,29135.880859375,20.829999923706055
2015-02-18,8869.099609375,29320.259765625,20.90999984741211
2015-02-19,8895.2998046875,29462.26953125,20.399999618530273
2015-02-20,8833.599609375,29231.41015625,21.270000457763672
2015-02-23,8754.9501953125,28975.109375,21.6299991607666
2015-02-24,8762.099609375,29004.66015625,21.549999237060547
2015-02-25,8767.25,29007.990234375,20.780000686645508
2015-02-26,8683.849609375,28746.650390625,20.579999923706055
2015-02-27,8844.599609375,29220.119140625,19.56999969482422
2015-03-02,8956.75,29459.140625,15.850000381469727
2015-03-03,8996.25,29593.73046875,15.489999771118164
2015-03-04,8922.650390625,29380.73046875,15.199999809265137
2015-03-05,8937.75,29448.94921875,14.4399995803833
2015-03-09,8756.75,28844.779296875,15.8100004196167
2015-03-10,8712.0498046875,28709.869140625,15.529999732971191
2015-03-11,8699.9501953125,28659.169921875,15.130000114440918
2015-03-12,8776.0,28930.41015625,14.75
2015-03-13,8647.75,28503.30078125,14.970000267028809
2015-03-16,8633.150390625,28437.7109375,15.180000305175781
2015-03-17,8723.2998046875,28736.380859375,15.130000114440918
2015-03-18,8685.900390625,28622.119140625,15.510000228881836
2015-03-19,8634.650390625,28469.669921875,15.199999809265137
2015-03-20,8570.900390625,28261.080078125,14.260000228881836
2015-03-23,8550.900390625,28192.01953125,14.270000457763672
2015-03-24,8542.9501953125,28161.720703125,13.670000076293945
2015-03-25,8530.7998046875,28111.830078125,13.140000343322754
